user_id,session_id,event_time,event_type,page,product_id,price,revenue,device,country,event_date,funnel_step
U0153,sess_153_1_1756684800,01-09-2025 00:17,product_view,pricing,P981,0,0,web,IN,01-09-2025,Product View
U0153,sess_153_1_1756684800,01-09-2025 00:18,product_view,account,P490,0,0,web,IN,01-09-2025,Product View
U0153,sess_153_1_1756684800,01-09-2025 00:20,page_view,pricing,,0,0,web,IN,01-09-2025,Other
U0153,sess_153_1_1756684800,01-09-2025 00:25,search,product_detail,,0,0,web,IN,01-09-2025,Product View
U0153,sess_153_1_1756684800,01-09-2025 00:37,page_view,checkout,,0,0,web,IN,01-09-2025,Checkout
U0153,sess_153_1_1756684800,01-09-2025 00:37,page_view,blog,,0,0,web,IN,01-09-2025,Other
U0457,sess_457_6_1756684800,01-09-2025 01:41,page_view,home,,0,0,web,IN,01-09-2025,Other
U0457,sess_457_6_1756684800,01-09-2025 01:43,search,product_listing,,0,0,web,IN,01-09-2025,Other
U0457,sess_457_6_1756684800,01-09-2025 01:49,product_view,account,P804,0,0,web,IN,01-09-2025,Product View
U0094,sess_94_2_1756684800,01-09-2025 01:52,sign_up,blog,,0,0,android,SG,01-09-2025,Other
U0457,sess_457_6_1756684800,01-09-2025 01:53,page_view,product_detail,,0,0,web,IN,01-09-2025,Product View
U0094,sess_94_2_1756684800,01-09-2025 01:54,search,pricing,,0,0,android,SG,01-09-2025,Other
U0094,sess_94_2_1756684800,01-09-2025 01:54,page_view,pricing,,0,0,android,SG,01-09-2025,Other
U0094,sess_94_2_1756684800,01-09-2025 01:57,logout,cart,,0,0,android,SG,01-09-2025,Add to Cart
U0457,sess_457_6_1756684800,01-09-2025 01:57,page_view,checkout,,0,0,web,IN,01-09-2025,Checkout
U0457,sess_457_6_1756684800,01-09-2025 01:59,checkout_start,checkout,P646,0,0,web,IN,01-09-2025,Checkout
U0094,sess_94_2_1756684800,01-09-2025 02:00,add_to_cart,home,P108,0,0,android,SG,01-09-2025,Add to Cart
U0457,sess_457_6_1756684800,01-09-2025 02:02,page_view,blog,,0,0,web,IN,01-09-2025,Other
U0457,sess_457_6_1756684800,01-09-2025 02:06,page_view,pricing,,0,0,web,IN,01-09-2025,Other
U0094,sess_94_2_1756684800,01-09-2025 02:07,page_view,pricing,,0,0,android,SG,01-09-2025,Other
U0285,sess_285_11_1756684800,01-09-2025 03:00,checkout_start,checkout,P783,0,0,web,US,01-09-2025,Checkout
U0285,sess_285_11_1756684800,01-09-2025 03:04,page_view,checkout,,0,0,web,US,01-09-2025,Checkout
U0285,sess_285_11_1756684800,01-09-2025 03:05,search,blog,,0,0,web,US,01-09-2025,Other
U0066,sess_66_2_1756684800,01-09-2025 04:02,payment_success,cart,P568,9.99,9.99,web,IN,01-09-2025,Conversion
